id,type,name,isni,mbname,country,mbid
4466,group,The Melody,,The Melody,Korean,73fbc37e-c7a1-477e-84af-2bd0e92e4f94
4464,group,クレンチ&ブリスタ,,クレンチ&ブリスタ,JP,cb02928b-30c4-42cf-9be2-72e8097647a1
4456,group,Groove Assassins & DJ Raw,,Groove Assassins & DJ Raw,,f85795c0-c596-4466-99cb-c2c4c8a5d48f
4456,group,Groove Assassins & DJ Raw,,Groove Assassins,,12c3805b-a47d-4ea3-ada4-27a4646de27e
4456,group,Groove Assassins & DJ Raw,['0000000122649407'],Groove Armada,GB,35723b60-732e-4bd8-957f-320b416e7b7f
4456,group,Groove Assassins & DJ Raw,,DJ Groove,RU,b03b1ba1-ba52-4048-83a0-635cd31e81ef
4456,group,Groove Assassins & DJ Raw,,DJ Raw,GB,8922cf58-8eef-47e0-93cc-cf1f0ea5bbbf
4452,group,Opensouls,,Opensouls,NZ,5750319a-9d1e-46eb-b6c3-028ba93e679a
4451,group,Otautahi Allstars,,Otautahi Allstars,New Zealand jazz tinged reggae/dub,fceddd1c-658c-4503-a774-3012ee857748
4451,group,Otautahi Allstars,,allSTARS*,GB,a14f903a-057f-4d8e-90fb-6b2b9c294e6c
4451,group,Otautahi Allstars,,765PRO ALLSTARS,JP,88cb8a6a-8b99-4e2e-964f-3353f90f71eb
4451,group,Otautahi Allstars,,Allstars,SE,cdec1f3d-cbd5-4bc9-bb1d-07edcf3232c3
4448,group,Steady&Co.,,Steady&Co.,JP,27cd0016-3947-4f18-a494-8c5d6c7eafb1
4446,group,Atom on Sphere,,ATOM ON SPHERE,JP,ed60ab04-c32b-4d01-a07a-4a70cbbc4ae0
4446,group,Atom on Sphere,,Acid on Sphere,Psytrance,67590613-c924-4d0d-a906-ed2005962388
4446,group,Atom on Sphere,,Sphere,DE,369dfc63-bf64-4f4b-b32b-08310126a987
4446,group,Atom on Sphere,,Atom™,DE,a874e630-134c-4450-97c4-54e596404290
