id,x,y
4668,6769,4698
4629,1612,544
4619,14142,7914
4611,3558,3275
4603,13718,5850
4595,9664,7802
4570,15715,3482
4563,6085,6015
4552,11105,3529
4541,4292,719
4540,634,5056
4539,8835,1043
4536,15724,1608
4527,10709,4493
4518,6120,3694
4501,3563,6205
4433,6523,4358
4206,4675,599
4193,14273,5794
4158,3553,1415
4155,3032,3474
4148,5355,7023
4111,13225,1299
4046,11968,4030
4023,3483,2204
3993,3766,2738
3990,2963,2910
3965,2482,697
3952,12927,6610
3875,3302,1036
3868,4571,7447
3847,3465,2208
3836,14040,1791
3797,10822,3321
3725,6428,3742
3721,6010,306
3711,6282,3816
3672,6116,3866
3669,2740,3312
3660,6251,6014
3652,5821,5
3651,5532,538
3650,7463,252
3622,3679,3035
3609,5941,7368
3576,13154,5922
3575,12199,6792
3562,12716,1474
3557,2564,3418
3540,2143,3865
3530,2353,3601
3503,9964,3301
3461,13073,1916
3457,3882,3216
3453,14756,347
3430,7057,4530
3403,4041,30
3380,3046,6565
3379,1674,7187
3378,2738,6840
3360,10477,3169
3341,15921,535
3326,6259,1452
3321,14155,987
3259,5825,7891
3227,13488,1377
3202,1983,4786
3201,983,4109
3200,1057,5082
3199,888,4698
3197,3720,1433
3196,3891,1799
3195,3670,961
3194,3821,1727
3193,1372,484
3192,3520,1512
3191,3326,1383
3190,2954,998
3189,3156,903
3188,2815,856
3187,1768,831
3186,3743,1674
3185,1897,1384
3184,1875,587
3183,3181,965
3182,3815,1688
3181,3662,1594
3180,1431,686
3179,1465,803
3178,3787,1541
3177,1950,886
3176,989,500
3175,6457,6032
3174,5921,6391
3173,5940,6102
3172,6313,6086
3171,6199,6235
3170,5813,6452
3169,5779,6255
3168,5945,6029
3167,6283,6024
3166,5917,6036
3165,6236,6208
3164,5935,6207
3163,6183,6298
3162,6410,6315
3161,5958,6048
3160,10711,7067
3159,10222,7499
3158,8811,7786
3121,3991,1505
3117,4346,713
3116,5411,600
3115,6207,856
3114,5475,873
3113,5209,709
3112,7379,330
3111,6238,693
3110,6856,163
3094,13582,5342
3093,13395,5684
3092,13569,5516
3083,5957,6587
3069,11783,3380
3067,11752,2948
3057,5026,595
2999,9719,3469
2991,5912,3727
2969,6379,4510
2965,5750,6526
2959,13701,5946
2945,5793,6493
2942,14507,5721
2936,11654,4277
2933,9259,7711
2914,10160,3977
2913,4532,6561
2912,4500,6218
2910,7448,7514
2906,12123,6517
2904,2203,1109
2903,903,1291
2902,3786,1636
2901,5569,3738
2899,9779,6540
2898,11610,7690
2896,13651,6368
2895,13204,6834
2886,12699,6385
2885,13069,6709
2879,2266,6916
2878,3793,3469
2877,1808,3816
2876,1836,3800
2875,2797,3575
2871,2529,3585
2869,2820,3486
2864,9293,3467
2863,9956,3153
2856,9229,3647
2852,9565,3281
2850,11615,4239
2849,8818,3761
2844,183,7098
2843,5054,1673
2840,6697,6032
2839,6444,6124
2838,795,5586
2834,3749,3543
2830,7501,6322
2820,13478,3734
2819,12126,2920
2797,15136,6373
2789,2625,972
2778,10007,5547
2777,9106,6687
2776,9438,7360
2775,9597,6493
2774,9449,7134
2743,3006,6453
2741,1451,6871
2740,689,7374
2739,222,7884
2738,441,7190
2737,1028,6895
2731,1482,4868
2713,2098,4556
2701,6599,3700
2698,6595,3894
2697,6769,3978
2691,10161,2829
2635,14322,6850
2634,13503,6510
2629,13626,6372
2581,4242,6709
2574,4341,648
2572,6704,1481
2571,6947,1035
2526,12368,6470
2515,6127,6372
2513,5811,4895
2464,2293,7378
2463,2560,7249
2462,2078,7001
2461,2766,6716
2440,3735,3436
2439,3720,2902
2438,3810,2952
2422,9926,1703
2372,7562,4515
2347,782,4159
2341,15920,3198
2323,3696,2246
2321,3237,4379
2320,1712,4101
2319,1737,4074
2316,6002,7562
2309,12090,1544
2306,11956,1381
2305,11438,1370
2303,10961,1228
2302,9289,1074
2300,10710,1194
2298,11691,1280
2290,5829,6996
2284,5610,6468
2283,5121,7325
2282,5375,6948
2281,6415,6939
2280,6435,6960
2279,4286,5992
2277,5589,6915
2276,5524,7115
2274,4988,6960
2273,7402,7804
2272,7752,7954
2271,6067,7635
2270,4343,7187
2269,5314,7142
2268,12016,5022
2266,6388,7197
2262,5948,6114
2257,7992,6967
2256,7087,7505
2228,3749,5993
2217,3185,6974
2212,8338,2761
2203,5022,4095
2200,7411,7883
2193,6025,7387
2192,4312,1235
2169,5742,7542
2166,4174,6049
2156,9826,2616
2155,9384,3318
2154,1267,7935
2148,9065,4752
2143,5790,6516
2140,11396,3373
2139,11059,6237
2136,10872,3585
2135,2371,7228
2125,4358,6543
2120,748,5760
2119,6339,3723
2110,2621,2788
2100,8927,3956
2097,4527,6565
2090,10846,4629
2087,9110,3002
2083,8744,2146
2081,5538,1180
2071,5719,3814
2062,3002,1014
2061,2074,3040
2060,9593,6276
2059,5357,3442
2058,644,6579
2053,9862,2738
2042,8122,226
2040,5853,6661
2039,8866,3207
2035,6152,1435
2007,10501,1140
2001,12348,2043
2000,8778,6766
1991,8935,1026
1990,5559,1818
1989,3174,2997
1987,7742,4094
1986,10206,1076
1984,11892,3083
1972,6861,467
1967,5283,3702
1964,10902,3272
1961,15719,3067
1956,5517,1278
1953,3196,5631
1949,4817,7645
1947,5696,1261
1935,6104,3733
1933,12369,6305
1922,7278,7233
1921,4395,4241
1919,11004,6111
1917,12109,6392
1911,5034,7398
1908,4303,7207
1905,4110,7916
1904,2113,2718
1900,5555,6576
1892,4389,4405
1890,7435,6305
1888,5154,7219
1878,4552,7787
1872,10089,6891
1870,2753,4794
1866,10182,1614
1863,5319,1672
1856,4513,7714
1855,4585,4245
1853,1919,4986
1850,264,486
1843,5640,6191
1834,6694,7244
1822,7062,3796
1794,4698,6415
1789,11112,3526
1783,6884,6032
1782,5981,3971
1781,7980,6672
1779,5620,5592
1778,4280,6994
1775,14313,1171
1774,264,877
1765,5236,730
1764,4353,7251
1763,2098,5396
1747,1310,5171
1742,14041,919
1736,15372,3825
1734,7990,7858
1730,5941,6458
1717,10762,2690
1700,4790,1958
1697,6855,7336
1695,5748,37
1688,10780,1227
1681,7839,7387
1671,15099,4510
1670,14213,5584
1666,6389,3829
1664,7651,7523
1661,4901,7327
1657,4017,6241
1656,6177,3676
1642,8209,4039
1633,10433,949
1629,4957,6021
1628,11631,4503
1625,5998,7091
1623,8742,2085
1615,5086,7336
1595,6024,3822
1586,10415,3303
1584,1327,4765
1572,9770,6426
1561,2150,5377
1560,10242,533
1556,15865,3570
1547,10887,2885
1536,5524,6499
1534,6300,6739
1525,4758,6290
1521,5829,7101
1515,5745,6069
1508,15501,6339
1505,2762,4791
1493,459,1336
1477,8331,3413
1475,4231,914
1460,7438,7604
1458,4908,2
1452,11685,1434
1449,5075,3002
1445,7399,7694
1416,8684,2689
1415,1381,5599
1408,4925,6385
1407,4406,6117
1402,10157,648
1391,10288,6941
1389,3599,4661
1383,7207,7551
1374,5481,3656
1371,3538,5795
1370,5879,3870
1368,6654,3680
1367,1913,4983
1355,6663,3889
1354,10933,3944
1353,11097,2936
1347,9031,2518
1345,3068,5473
1338,3917,5477
1337,9631,3053
1323,5550,6244
1317,3102,4748
1316,5858,6242
1308,5535,1516
1295,5468,6477
1294,14911,2718
1283,2023,6596
1270,5539,3666
1267,2050,4960
1266,4887,6492
1258,5487,1221
1257,2210,5241
1251,9990,3849
1250,5521,6284
1249,2950,4791
1241,11534,6167
1234,3407,1290
1230,6487,1170
1224,5684,7544
1212,7690,5402
1205,12765,3176
1204,10065,1395
1202,6144,1787
1193,3711,2659
1189,4930,7169
1174,10009,876
1165,10096,6664
1164,5861,3728
1154,9818,1485
1152,5067,6816
1150,15227,6271
1147,7393,312
1143,6996,3530
1140,658,1650
1139,7070,1490
1134,14891,3437
1127,6239,7096
1126,7872,1383
1119,7882,4582
1116,5068,6408
1111,3827,6727
1108,5689,7175
1085,4268,662
1082,6375,7101
1079,6085,3819
1068,6013,7043
1067,6287,7119
1064,2318,4849
1057,12025,1528
1055,6615,6972
1040,709,5839
1038,5097,743
1034,9794,1469
1022,1232,5557
1021,4378,7308
1016,6906,7456
1013,3470,2788
1010,8090,7233
1003,11549,6287
1001,5768,6808
1000,11661,4304
999,5202,329
995,5532,1819
993,7650,6002
992,8408,6899
982,10963,4506
978,7131,4006
968,4939,7077
959,7302,3244
958,8449,6839
954,7990,6965
950,14434,6719
945,5737,6253
939,6904,7141
936,11529,4328
934,7586,7889
933,13592,5490
928,5421,7161
927,13646,5921
925,5448,6867
919,13321,887
916,5571,6334
915,14672,3118
905,6130,2348
900,1583,4861
893,4577,4217
891,6859,7121
890,4524,6001
885,6503,6709
883,10256,7743
868,7301,1225
847,11252,1068
845,5744,7643
844,12611,6344
840,1691,5101
825,14005,2447
819,1491,6630
812,2585,1093
795,6947,4473
794,14738,6374
788,6404,3803
781,5518,6491
780,13963,6659
768,14434,655
752,2104,4317
750,4235,7071
736,1780,5144
735,7256,7406
733,3310,1895
727,7038,7348
714,10172,1627
713,5861,1855
709,14159,722
707,7796,7683
706,1201,4151
705,4115,6626
703,5977,3918
702,13322,3845
691,5103,3701
690,4922,6868
684,5468,6598
683,5496,892
678,4406,6012
675,9177,2528
673,15845,6387
671,7363,3890
659,12050,2854
658,7042,4392
655,86,176
654,8086,1001
653,12358,3361
650,11129,5864
649,7538,6000
644,8016,4364
641,5524,4153
638,6803,4490
633,5340,6582
631,8938,2840
630,9474,3020
629,11237,3191
624,9646,3542
622,6840,4477
618,13198,6622
599,7480,7899
597,10627,3407
596,4704,6499
594,9669,5479
588,9634,3529
584,12064,2154
583,2562,6402
579,15347,6204
577,5215,5795
568,5835,7066
565,5756,6714
561,5810,3683
560,5729,1296
552,10042,4322
548,6297,7108
547,5596,4766
539,11038,4214
535,7741,6634
523,9616,3275
521,10866,1268
520,5683,5000
516,8902,2849
511,11681,3243
507,1657,7712
505,6514,7159
501,8385,5967
499,6827,4068
492,14673,7257
487,7774,4647
483,14592,6291
478,10183,1516
469,9964,3954
466,4808,6961
460,10093,3577
457,13660,943
455,9254,4547
454,11259,3397
451,13782,6075
439,10498,3916
437,2116,4906
433,6905,4603
431,9877,3127
428,3165,5597
426,4931,5890
422,9777,2592
421,5327,6640
416,3761,6058
414,4119,309
412,5952,1266
404,4256,5971
395,2841,994
389,9619,829
388,8756,438
386,6721,7349
383,6769,3610
379,11562,2890
378,4496,4240
375,8915,2847
374,15769,6105
363,12473,2196
360,5171,4016
359,8280,190
358,7373,914
350,9250,3433
348,1444,6870
346,5136,7285
344,13800,6868
342,1591,7188
337,2276,5298
325,10192,3946
321,7987,6899
320,5696,1345
312,9471,3822
306,1842,4636
305,5834,4598
303,5485,6983
294,5662,1822
270,11211,3379
263,5487,6723
257,7655,7547
254,11428,4748
253,13434,6560
250,6887,1114
242,6111,3717
239,6123,6055
236,14125,6768
235,8739,2474
231,4882,7623
230,7921,4466
228,6550,7045
227,10501,4808
225,1636,3902
219,11082,3544
215,1921,4474
213,3326,2093
208,1616,4703
204,10854,2031
201,9397,5944
197,9146,3017
196,4025,6921
194,1485,2437
192,3832,2693
189,10185,3401
187,14752,2364
186,1251,4303
180,2943,4373
177,13547,3165
176,4326,7640
173,6123,4526
169,1533,4385
168,7239,1831
166,10968,3980
164,669,5452
156,4063,657
152,4080,7948
135,7552,5395
132,11828,6716
127,11293,4055
117,7681,7662
100,11503,2887
99,6123,5583
98,5760,6360
97,5717,4273
96,11874,4216
95,4061,4921
92,8954,980
83,4811,6280
67,6560,853
